experiment,case,data_seed,m_constraints,family,selection,strictly_reliable,reliability_code,normalizer_reliable,reference_reliable,reference_method,reference_rhat_max,reference_ess_min,vi_converged,vi_failure_reason,selected_validation_elbo,selected_normalized_gradient,method,reverse_kl,reverse_kl_se,forward_kl,forward_kl_se,tv,tv_se,validation_elbo,normalized_gradient,converged,wall_time_seconds,jacobian_log_q01,jacobian_log_q50,jacobian_log_q99,minimum_derivative,average_marginal_w1,sliced_w1,mean_relative_error,covariance_relative_error,normalized_reverse_kl
capacity_extended,log,2,5,diag,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-1.6519017121667119,9.3335691871592e-05,CTVGP,0.8826389557846155,0.004644755892262775,1.5804006466767724,0.019894532960562136,0.4667115938302375,0.0015104579699648129,-1.6519017121667119,9.3335691871592e-05,True,5.042408799985424,-4.231969024237431,-1.2926904538795823,-0.36424069385887053,0.0018444490964440788,0.01152688226826245,0.010261306202031615,0.0036635892599195252,0.5502229098307981,0.1765277911569231
capacity_extended,log,2,5,rank2,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-1.0565847560552366,0.0002668177327454937,CTVGP,0.2756971423372352,0.0026347938758496466,0.6445148035835496,0.015555862194153943,0.2581052867046818,0.0011473562941149804,-1.0565847560552366,0.0002668177327454937,True,12.24746510013938,-4.228907907199665,-1.276416104305575,-0.3531957974213872,0.0027102735416841563,0.004447999561236651,0.0037160822881213804,0.003416559990704887,0.14307477103675934,0.05513942846744704
capacity_extended,log,2,5,rank4,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-0.9732416641538119,0.0006923434647383832,CTVGP,0.19491915781480218,0.0023853634224379225,0.5317934368733475,0.015094209242116893,0.216482455912317,0.000995977678747077,-0.9732416641538119,0.0006923434647383832,True,2.6333896999713033,-4.252525862506605,-1.2752129835538775,-0.3520881777834578,0.00255638403742777,0.003802120479234126,0.0023343343390496794,0.0016104097575688244,0.06305930584405221,0.03898383156296044
capacity_extended,log,2,5,full,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-0.9779470979240594,0.0007799874771711813,CTVGP,0.20612430080903332,0.002429900266322397,0.5351690311422419,0.015396736910502402,0.21736670695061588,0.0010019606033152518,-0.9779470979240594,0.0007799874771711813,True,1.341622699983418,-4.249200453384187,-1.2763356305502302,-0.3527669409178342,0.0025211912151698475,0.003992235085383882,0.0023665163262524313,0.0016177700553363715,0.06501357373770426,0.04122486016180667
capacity_extended,log,3,10,diag,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-40.51400307706011,8.752879556379958e-05,CTVGP,39.2295117327217,0.009311548527741074,13296645.250611434,81841.35042773094,0.9999999999999988,4.514087709354481e-16,-40.51400307706011,8.752879556379958e-05,True,19.75541270012036,-1.594717062159921,-1.2650342195215745,-0.5261519395911105,0.2251524426217672,0.043579747090373204,0.04421095909257697,0.0006841068979563126,0.9999814590876182,3.92295117327217
capacity_extended,log,3,10,rank2,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,normalized_gradient,-26.167137448250784,0.32477349478961764,CTVGP,25.292299864212115,0.007834313520977323,2033873.0383717585,13617.747268733432,0.9999999986529523,6.539322968364912e-10,-26.167137448250784,0.32477349478961764,False,14.433707299875095,-1.7501640558018579,-1.2316759821463825,-0.5009451854555633,0.1380377588218082,0.023218581232230296,0.02315927427616985,0.017493592321878464,0.8261879004898508,2.5292299864212113
capacity_extended,log,3,10,rank4,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,normalized_gradient,-14.848335558149323,1.1109641228770382,CTVGP,14.310025935106662,0.006015575369360979,272649.48442805815,2737.3306403958545,0.9999887872337382,2.3542120975696775e-06,-14.848335558149323,1.1109641228770382,False,13.12246199999936,-1.84702700200499,-1.234748973388219,-0.46796037789651485,0.085226201355965,0.01716517036298548,0.01571591154703184,0.00958439507202006,0.6823657674781537,1.4310025935106663
capacity_extended,log,3,10,full,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,"validation_plateau,normalized_gradient",-5.626761015176413,2.887760740289508,CTVGP,5.454097525664449,0.007039263054603501,5154.023330552032,311.5797924190575,0.9780578872509108,0.00042183907660449675,-5.626761015176413,2.887760740289508,False,13.413506999844685,-1.8629938743576433,-1.223485642691097,-0.46873474608452576,0.07734991370576351,0.018130123336213038,0.01776166178285119,0.01614479038551081,0.639130016617505,0.5454097525664449
capacity_extended,log,3,20,diag,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-53.30332685745017,0.00029849820760814255,CTVGP,52.228781217839966,0.0070600788574373035,129268523.24626079,666729.1619946827,1.0,0.0,-53.30332685745017,0.00029849820760814255,True,50.982914299936965,-1.5946281575915733,-1.271421596709959,-0.5270111580048075,0.22661768032433394,0.0416101157869732,0.041762271669920706,0.0015222713803094094,0.9999999071989739,2.6114390608919984
capacity_extended,log,3,20,rank2,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,normalized_gradient,-36.87104355228183,0.3254444567706255,CTVGP,36.3090482453131,0.006325695824338089,55386720.665032126,342245.5510935383,0.9999999999999837,5.7806378197306036e-15,-36.87104355228183,0.3254444567706255,False,33.056193500058725,-1.7038706182320529,-1.2631201771633163,-0.48832519555246184,0.11856792091904814,0.020096408017757156,0.01819344061686946,0.006451917953848943,0.7523291709911918,1.815452412265655
capacity_extended,log,3,20,rank4,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,normalized_gradient,-22.859937647387383,0.8599714443354527,CTVGP,22.582090650365966,0.006762169321697517,7558064.7007759875,62807.10164266946,0.9999999940273517,1.2175315329410618e-09,-22.859937647387383,0.8599714443354527,False,32.25630089989863,-1.690444800374423,-1.2672296510535372,-0.4987536105609196,0.14003603364598266,0.024455120227235224,0.02456930594395006,0.0015041398257324824,0.8659643570626668,1.1291045325182982
capacity_extended,log,3,20,full,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,"validation_plateau,normalized_gradient",-22.312516049736928,6.682158140300187,CTVGP,24.66998127713355,0.008156548915456153,187129.9260839433,7116.761657163965,0.9999999949932502,1.6021459520296804e-09,-22.312516049736928,6.682158140300187,False,29.604914699913934,-1.6223597312758802,-1.268958419137651,-0.5268261344497724,0.20215211908490066,0.04036854488871481,0.0401684889615079,0.002463466000408582,0.9989916500040393,1.2334990638566776
capacity_extended,log,3,5,diag,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-0.9886084577121017,5.996235713616971e-05,CTVGP,0.9839083161019417,0.004071115723855596,2.357656322518856,0.04032221007513168,0.520052897445398,0.0015204031091126551,-0.9886084577121017,5.996235713616971e-05,True,0.9606246999464929,-2.029424540594597,-1.2621531877692025,-0.45676976293611005,0.06607209954850687,0.014340224712243199,0.013660329784357396,0.0011843582575938002,0.5721634854781141,0.19678166322038834
capacity_extended,log,3,5,rank2,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-0.19919039938928806,0.00014354133158316784,CTVGP,0.18992432000771112,0.001908811022627192,0.6017550727100955,0.031987356414266956,0.21333285475130434,0.001034303660568136,-0.19919039938928806,0.00014354133158316784,True,4.041020199889317,-2.111951759839187,-1.24308325344309,-0.440491879051341,0.05462552727415909,0.0047560045589010195,0.004591086308249041,0.0033401828134677785,0.20601199237000983,0.037984864001542225
capacity_extended,log,3,5,rank4,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-0.13511139154355378,0.0006177990365077877,CTVGP,0.1265460141504037,0.0015031628660261507,0.4962317814003542,0.030947549447101295,0.16514875365388262,0.0009087192910548106,-0.13511139154355378,0.0006177990365077877,True,2.423153300071135,-2.1283040936547555,-1.2427259555550698,-0.43659927460414155,0.051728905763679965,0.004374320296135556,0.0036129693486872502,0.0021847757650978526,0.1063782776394018,0.02530920283008074
capacity_extended,log,3,5,full,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-0.13581521970411625,0.000346019211098656,CTVGP,0.12937132753064065,0.00149991221606234,0.49280658081234285,0.031025406276996466,0.16569734828702887,0.0009123319785701182,-0.13581521970411625,0.000346019211098656,True,2.1129403999075294,-2.1290207185121064,-1.2421671155964948,-0.43774638081563544,0.06202233039265202,0.004438800597988357,0.0034572186947593357,0.0028282491562143137,0.10436247345606048,0.02587426550612813
capacity_extended,log,4,10,diag,best_converged_validation_elbo,True,OK,True,True,rejection,1.0,30000.0,True,,-40.782997778359444,3.5766777434384796e-06,CTVGP,39.37437677620069,0.009008817609377386,16674723.06447456,105478.68136658258,0.9999999999999992,1.3256375631669794e-16,-40.782997778359444,3.5766777434384796e-06,True,16.623799200169742,-1.9161793524564252,-1.3283265832086193,-0.5154961563408045,0.15806105876388005,0.04430958531481612,0.044432174206160975,0.005946244542637437,0.9999887319187465,3.937437677620069
capacity_extended,log,4,10,rank2,best_unconverged_validation_elbo,False,U_VI,True,True,rejection,1.0,30000.0,False,normalized_gradient,-26.229425171572423,0.47481629115220475,CTVGP,25.239380830244396,0.007564398509576814,2783608.279166016,19623.317939251865,0.9999999968945907,2.5555158324069125e-09,-26.229425171572423,0.47481629115220475,False,17.26905840006657,-2.167558709904743,-1.2864542364283569,-0.4904148285776365,0.08152740376383903,0.023988217159477642,0.02385226652592839,0.025090074643061937,0.822539184338311,2.5239380830244396
