case,m_constraints,family,n_seeds,strictly_reliable_seeds,normalizer_reliable_seeds,reference_reliable_seeds,vi_converged_seeds,reliability_codes,normalized_reverse_kl_mean,normalized_reverse_kl_ci95_low,normalized_reverse_kl_ci95_high,tv_mean,tv_ci95_low,tv_ci95_high,average_marginal_w1_mean,average_marginal_w1_ci95_low,average_marginal_w1_ci95_high,sliced_w1_mean,sliced_w1_ci95_low,sliced_w1_ci95_high
log,20,rank4,5,0,5,5,0,U_VI,1.5596529689063185,1.0415443023195434,2.0781195746378307,0.9999998890543056,0.9999996983792361,0.9999999986392922,0.026207733680082494,0.019150798173537334,0.03274817301563045,0.02457572585223301,0.01756245606669916,0.030969910505747194
log,20,full,5,0,5,5,0,U_VI,1.262375327108615,0.9711643396181607,1.5535863145990698,0.9993603392949977,0.9982041769171859,0.9999782436104205,0.027562188176434726,0.02130569138120143,0.034707109101161274,0.025886720840405976,0.0193709264265777,0.03362884250638274
sigmoid,5,diag,5,5,5,5,5,OK,0.11278964905793043,0.08352392176763854,0.14256557362031125,0.3742083298055161,0.32608370923448543,0.425190181655252,0.013727022514577816,0.011173587734649564,0.01628045729450607,0.009810038213340496,0.007734276040949807,0.011358206750651344
sigmoid,5,rank2,5,5,5,5,5,OK,0.08345468720833595,0.06908159189328586,0.09709074783671687,0.3404505844321464,0.32046374714071024,0.3623981857336155,0.012220893050098738,0.00840518198135951,0.01603660411883796,0.007159312157506423,0.005730120622981572,0.008700231687113869
sigmoid,5,rank4,5,5,5,5,5,OK,0.0751527742757299,0.04887871207554786,0.09927281275871336,0.33796557559511214,0.31933582451144993,0.3594661779652256,0.012585374196880767,0.008560685249130676,0.016610063144630854,0.007815329113052967,0.005551125432590101,0.010079532793515833
sigmoid,5,full,5,5,5,5,5,OK,0.09238914538950223,0.08157021924996091,0.1044024075901254,0.338603547448686,0.320060240517231,0.35970599178636276,0.012354496677878758,0.008392196071466771,0.016316797284290745,0.007164359392357917,0.005346167462481613,0.008982551322234222
sigmoid,10,diag,5,4,5,4,5,OK;U_REF,0.38937495881285483,0.12312163140715904,0.8704606524802246,0.6916560166059357,0.5725261217232542,0.8569032374011567,0.0185339269639836,0.013067147834297544,0.026766853551632958,0.02034383386927167,0.014846859552483443,0.028544704725501264
sigmoid,10,rank2,5,4,5,4,5,OK;U_REF,0.27231703188959167,0.08213644386726102,0.6095556637390976,0.619540821298588,0.4764085286207342,0.8199507679820728,0.011266665920006821,0.006160668186609586,0.018396501248813892,0.009796803256060065,0.0038167450234937684,0.018681304372881215
sigmoid,10,rank4,5,3,5,4,3,OK;U_REF+U_VI;U_VI,0.2077167293432903,0.0636700872283545,0.45700021412288727,0.604944912579384,0.4756401798944802,0.8051268958667184,0.009625375870639842,0.006096381412241015,0.01430348216346301,0.007336733114247059,0.003534909965315073,0.01285861972746612
sigmoid,10,full,5,4,5,4,4,OK;U_REF+U_VI,0.16087536657797646,0.07346515541982605,0.30486059060104725,0.588561170387063,0.46676924673053255,0.7744776857886596,0.008596688826166269,0.005954003271659729,0.011724872028516737,0.00614336530346918,0.0033662749110206953,0.009875487448493075
sigmoid,20,diag,5,0,4,0,2,U_NORM+U_REF;U_REF;U_REF+U_VI,2.950903473626405,2.5267387265570127,3.5154093326692872,1.0,1.0,1.0,0.08911029217596626,0.06884639974246605,0.11892833047087772,0.11751944839684536,0.07744430311214204,0.1703548443644423
sigmoid,20,rank2,5,0,4,0,0,U_NORM+U_REF+U_VI;U_REF+U_VI,2.714494763050494,2.1443566226229915,3.330372866907876,0.9999999999999296,0.9999999999997957,0.9999999999999998,0.09362846477284373,0.060367156028976264,0.13667198679429432,0.12249771696004438,0.06215407945725489,0.19585503991510897
sigmoid,20,rank4,5,0,4,0,0,U_NORM+U_REF+U_VI;U_REF+U_VI,3.448498755006652,1.8119468475770055,5.890719635848077,0.9999999999771811,0.999999999940435,0.9999999999999897,0.07445071182036697,0.05146183540099697,0.11275395571230622,0.10113743591727968,0.055892902816984835,0.1805229246564624
sigmoid,20,full,5,0,4,0,0,U_NORM+U_REF+U_VI;U_REF+U_VI,1.5037151156311672,0.758303656023638,2.3762208671506273,0.9999040445418025,0.9997846468905411,0.9999977935943665,0.05956126741620445,0.03410991311916002,0.09694179020150774,0.08817141705587088,0.04018767187741244,0.16070233531874265
