family,rank,map,map_scale,validation_elbo,normalized_gradient,adam_steps,lbfgs_iterations,wall_time_seconds,plateau_passed,gradient_passed,independent_elbo_1,independent_elbo_1_se,independent_elbo_2,independent_elbo_2_se,independent_agreement_passed,converged,failure_reason,initialization,selected,experiment,case,data_seed,m_constraints,derivative_scale,restart
rank2,2,exp,1.0,-0.24065482262160964,0.0004294464729144342,1400,114,2.2516431000549346,True,True,-0.24061637259018337,0.007493839993068146,-0.23893620159651968,0.007508104435314145,True,True,,independent,False,map,log,3,5,0.0470225328528657,2
rank2,2,squareplus,0.011755633213216425,-0.07730227572200654,0.0001236541655997625,3000,64,3.8412179001607,True,True,-0.07664925295879302,0.004298193313580125,-0.07880985144297374,0.004223735059716055,True,True,,independent,True,map,log,3,5,0.0470225328528657,0
rank2,2,squareplus,0.011755633213216425,-0.07731968006725864,8.90952962239771e-05,2000,66,5.216087599983439,True,True,-0.07661161837263436,0.0042853020035203,-0.07231044851301752,0.0042251973259290814,True,True,,independent,False,map,log,3,5,0.0470225328528657,1
rank2,2,squareplus,0.011755633213216425,-0.07737002317576724,0.0001907605775300007,1600,47,3.6769592000637203,True,True,-0.08066724544873496,0.0042315777198778095,-0.07070294618640294,0.004245602920200602,True,True,,independent,False,map,log,3,5,0.0470225328528657,2
rank2,2,softplus,1.0,-36.37494789849484,12.846546186873313,6800,500,45.467458199942484,False,False,-36.425142274618594,0.03250536767654826,-36.39548163764666,0.030893022082310644,True,False,"validation_plateau,normalized_gradient",independent,False,map,log,4,20,0.04749272954085326,0
rank2,2,softplus,1.0,-36.46176269108267,10.370610937519027,7200,500,46.99380959989503,False,False,-36.45239812107162,0.02809328826335622,-36.45695724302557,0.027734817297728042,True,False,"validation_plateau,normalized_gradient",independent,False,map,log,4,20,0.04749272954085326,1
rank2,2,softplus,1.0,-36.422502393391454,1.3218596655655295,8000,500,52.654809000203386,False,False,-36.39060325566505,0.02927718440432684,-36.46545300217973,0.028966566792440626,True,False,"validation_plateau,normalized_gradient",independent,False,map,log,4,20,0.04749272954085326,2
rank2,2,exp,1.0,-37.24745263783598,7.457833368963603,8000,500,33.02973100007512,False,False,-37.247320368303065,0.029934392224084082,-37.19854843683024,0.029405843477828642,True,False,"validation_plateau,normalized_gradient",independent,False,map,log,4,20,0.04749272954085326,0
rank2,2,exp,1.0,-37.278300427122545,0.6886859353785741,8000,500,31.651494200108573,True,False,-37.258398801878265,0.03236579251771805,-37.27687990876481,0.02936776728730339,True,False,normalized_gradient,independent,False,map,log,4,20,0.04749272954085326,1
rank2,2,exp,1.0,-37.320639951707534,0.9790345635730617,8000,500,34.8952785001602,True,False,-37.36221509664864,0.03081178938449844,-37.37666646840244,0.03072234421344002,True,False,normalized_gradient,independent,False,map,log,4,20,0.04749272954085326,2
