m_constraints,family,component,repeat,value,unit,batch_size,iterations
5,full,1000_iterations,4,0.6391878998838365,seconds,8,1000
5,full,1000_iterations,5,0.5804075000341982,seconds,8,1000
5,full,1000_iterations,6,0.5713516999967396,seconds,8,1000
5,full,10000_samples,0,0.002492800122126937,seconds,10000,1
5,full,10000_samples,1,0.0033240001648664474,seconds,10000,1
5,full,10000_samples,2,0.0033211999107152224,seconds,10000,1
5,full,10000_samples,3,0.003390599973499775,seconds,10000,1
5,full,10000_samples,4,0.003388199955224991,seconds,10000,1
5,full,10000_samples,5,0.003602599957957864,seconds,10000,1
5,full,10000_samples,6,0.0033950000070035458,seconds,10000,1
5,full,peak_memory,0,82.8125,MiB_peak_RSS,512,20
5,full,peak_memory,1,82.8125,MiB_peak_RSS,512,20
5,full,peak_memory,2,82.8125,MiB_peak_RSS,512,20
5,full,peak_memory,3,82.8125,MiB_peak_RSS,512,20
5,full,peak_memory,4,82.8125,MiB_peak_RSS,512,20
5,full,peak_memory,5,82.8125,MiB_peak_RSS,512,20
5,full,peak_memory,6,82.8125,MiB_peak_RSS,512,20
10,shared,posterior_construction,0,0.01362650003284216,seconds,0,1
10,shared,posterior_construction,1,0.018197600031271577,seconds,0,1
10,shared,posterior_construction,2,0.02179739996790886,seconds,0,1
10,shared,posterior_construction,3,0.028467300115153193,seconds,0,1
10,shared,posterior_construction,4,0.022024299949407578,seconds,0,1
10,shared,posterior_construction,5,0.01974570006132126,seconds,0,1
10,shared,posterior_construction,6,0.015342900063842535,seconds,0,1
10,shared,target_factorization,0,4.759989678859711e-05,seconds,0,1
10,shared,target_factorization,1,4.429998807609081e-05,seconds,0,1
10,shared,target_factorization,2,4.2899977415800095e-05,seconds,0,1
10,shared,target_factorization,3,4.429998807609081e-05,seconds,0,1
10,shared,target_factorization,4,4.2800093069672585e-05,seconds,0,1
10,shared,target_factorization,5,5.5800192058086395e-05,seconds,0,1
10,shared,target_factorization,6,7.209996692836285e-05,seconds,0,1
10,diag,objective_gradient,0,0.0011838001664727926,seconds,512,1
10,diag,objective_gradient,1,0.002021299907937646,seconds,512,1
10,diag,objective_gradient,2,0.0016493001021444798,seconds,512,1
10,diag,objective_gradient,3,0.0018996000289916992,seconds,512,1
10,diag,objective_gradient,4,0.0017568999901413918,seconds,512,1
10,diag,objective_gradient,5,0.0017224999610334635,seconds,512,1
10,diag,objective_gradient,6,0.00158550008200109,seconds,512,1
10,diag,1000_iterations,0,0.2653932000976056,seconds,8,1000
10,diag,1000_iterations,1,0.27025160007178783,seconds,8,1000
10,diag,1000_iterations,2,0.25011739996261895,seconds,8,1000
10,diag,1000_iterations,3,0.21863989997655153,seconds,8,1000
10,diag,1000_iterations,4,0.24369870009832084,seconds,8,1000
10,diag,1000_iterations,5,0.26177199999801815,seconds,8,1000
10,diag,1000_iterations,6,0.272956500062719,seconds,8,1000
10,diag,10000_samples,0,0.007162600057199597,seconds,10000,1
10,diag,10000_samples,1,0.006924299988895655,seconds,10000,1
10,diag,10000_samples,2,0.005932200001552701,seconds,10000,1
10,diag,10000_samples,3,0.005950600141659379,seconds,10000,1
10,diag,10000_samples,4,0.006244499934837222,seconds,10000,1
10,diag,10000_samples,5,0.007142199901863933,seconds,10000,1
10,diag,10000_samples,6,0.006350700045004487,seconds,10000,1
10,diag,peak_memory,0,82.5,MiB_peak_RSS,512,20
10,diag,peak_memory,1,82.5,MiB_peak_RSS,512,20
10,diag,peak_memory,2,82.5,MiB_peak_RSS,512,20
10,diag,peak_memory,3,82.5,MiB_peak_RSS,512,20
10,diag,peak_memory,4,82.5,MiB_peak_RSS,512,20
10,diag,peak_memory,5,82.5,MiB_peak_RSS,512,20
10,diag,peak_memory,6,82.5,MiB_peak_RSS,512,20
10,rank2,objective_gradient,0,0.0020216000266373158,seconds,512,1
10,rank2,objective_gradient,1,0.0020131999626755714,seconds,512,1
10,rank2,objective_gradient,2,0.001984500093385577,seconds,512,1
10,rank2,objective_gradient,3,0.0020918999798595905,seconds,512,1
10,rank2,objective_gradient,4,0.00234219990670681,seconds,512,1
10,rank2,objective_gradient,5,0.0019809999503195286,seconds,512,1
10,rank2,objective_gradient,6,0.005846499931067228,seconds,512,1
10,rank2,1000_iterations,0,0.4044826999306679,seconds,8,1000
10,rank2,1000_iterations,1,0.4074787001591176,seconds,8,1000
10,rank2,1000_iterations,2,0.35516909998841584,seconds,8,1000
10,rank2,1000_iterations,3,0.3684486001729965,seconds,8,1000
10,rank2,1000_iterations,4,0.3639223000500351,seconds,8,1000
10,rank2,1000_iterations,5,0.3525249999947846,seconds,8,1000
10,rank2,1000_iterations,6,0.40368419978767633,seconds,8,1000
10,rank2,10000_samples,0,0.005747999995946884,seconds,10000,1
10,rank2,10000_samples,1,0.005583300022408366,seconds,10000,1
10,rank2,10000_samples,2,0.006822000024840236,seconds,10000,1
10,rank2,10000_samples,3,0.0054709999822080135,seconds,10000,1
10,rank2,10000_samples,4,0.006072100019082427,seconds,10000,1
10,rank2,10000_samples,5,0.006691299844533205,seconds,10000,1
10,rank2,10000_samples,6,0.006115899886935949,seconds,10000,1
10,rank2,peak_memory,0,82.58984375,MiB_peak_RSS,512,20
10,rank2,peak_memory,1,82.58984375,MiB_peak_RSS,512,20
10,rank2,peak_memory,2,82.58984375,MiB_peak_RSS,512,20
10,rank2,peak_memory,3,82.58984375,MiB_peak_RSS,512,20
10,rank2,peak_memory,4,82.58984375,MiB_peak_RSS,512,20
10,rank2,peak_memory,5,82.58984375,MiB_peak_RSS,512,20
10,rank2,peak_memory,6,82.58984375,MiB_peak_RSS,512,20
10,rank4,objective_gradient,0,0.0016171999741345644,seconds,512,1
10,rank4,objective_gradient,1,0.001550600165501237,seconds,512,1
10,rank4,objective_gradient,2,0.0018209998961538076,seconds,512,1
10,rank4,objective_gradient,3,0.0023628000635653734,seconds,512,1
10,rank4,objective_gradient,4,0.0017568001057952642,seconds,512,1
10,rank4,objective_gradient,5,0.002105700084939599,seconds,512,1
10,rank4,objective_gradient,6,0.0018637999892234802,seconds,512,1
10,rank4,1000_iterations,0,0.3973959998693317,seconds,8,1000
10,rank4,1000_iterations,1,0.33436209987848997,seconds,8,1000
10,rank4,1000_iterations,2,0.3964688000269234,seconds,8,1000
10,rank4,1000_iterations,3,0.41924790013581514,seconds,8,1000
10,rank4,1000_iterations,4,0.35340570006519556,seconds,8,1000
10,rank4,1000_iterations,5,0.3973507001064718,seconds,8,1000
10,rank4,1000_iterations,6,0.49742159992456436,seconds,8,1000
10,rank4,10000_samples,0,0.007245699875056744,seconds,10000,1
10,rank4,10000_samples,1,0.009268400026485324,seconds,10000,1
10,rank4,10000_samples,2,0.009212100179865956,seconds,10000,1
10,rank4,10000_samples,3,0.010587899945676327,seconds,10000,1
10,rank4,10000_samples,4,0.014493700116872787,seconds,10000,1
10,rank4,10000_samples,5,0.00774900009855628,seconds,10000,1
10,rank4,10000_samples,6,0.014653299935162067,seconds,10000,1
10,rank4,peak_memory,0,82.56640625,MiB_peak_RSS,512,20
10,rank4,peak_memory,1,82.56640625,MiB_peak_RSS,512,20
10,rank4,peak_memory,2,82.56640625,MiB_peak_RSS,512,20
10,rank4,peak_memory,3,82.56640625,MiB_peak_RSS,512,20
10,rank4,peak_memory,4,82.56640625,MiB_peak_RSS,512,20
10,rank4,peak_memory,5,82.56640625,MiB_peak_RSS,512,20
10,rank4,peak_memory,6,82.56640625,MiB_peak_RSS,512,20
10,rank8,objective_gradient,0,0.0026706999633461237,seconds,512,1
10,rank8,objective_gradient,1,0.004039500141516328,seconds,512,1
10,rank8,objective_gradient,2,0.0018699001520872116,seconds,512,1
10,rank8,objective_gradient,3,0.0021019999403506517,seconds,512,1
10,rank8,objective_gradient,4,0.0016360001172870398,seconds,512,1
10,rank8,objective_gradient,5,0.0017945999279618263,seconds,512,1
10,rank8,objective_gradient,6,0.0018418000545352697,seconds,512,1
10,rank8,1000_iterations,0,0.4656942000146955,seconds,8,1000
10,rank8,1000_iterations,1,0.34496999997645617,seconds,8,1000
10,rank8,1000_iterations,2,0.36779019981622696,seconds,8,1000
10,rank8,1000_iterations,3,0.3687647001352161,seconds,8,1000
10,rank8,1000_iterations,4,0.4108245000243187,seconds,8,1000
10,rank8,1000_iterations,5,0.4103522999212146,seconds,8,1000
10,rank8,1000_iterations,6,0.4843646998051554,seconds,8,1000
10,rank8,10000_samples,0,0.008043500129133463,seconds,10000,1
10,rank8,10000_samples,1,0.009062099969014525,seconds,10000,1
10,rank8,10000_samples,2,0.007791499840095639,seconds,10000,1
10,rank8,10000_samples,3,0.009238400030881166,seconds,10000,1
10,rank8,10000_samples,4,0.007305999984964728,seconds,10000,1
10,rank8,10000_samples,5,0.008270499994978309,seconds,10000,1
10,rank8,10000_samples,6,0.00786409992724657,seconds,10000,1
10,rank8,peak_memory,0,82.6171875,MiB_peak_RSS,512,20
10,rank8,peak_memory,1,82.6171875,MiB_peak_RSS,512,20
10,rank8,peak_memory,2,82.6171875,MiB_peak_RSS,512,20
10,rank8,peak_memory,3,82.6171875,MiB_peak_RSS,512,20
10,rank8,peak_memory,4,82.6171875,MiB_peak_RSS,512,20
10,rank8,peak_memory,5,82.6171875,MiB_peak_RSS,512,20
10,rank8,peak_memory,6,82.6171875,MiB_peak_RSS,512,20
10,full,objective_gradient,0,0.0019064000807702541,seconds,512,1
10,full,objective_gradient,1,0.0018904998432844877,seconds,512,1
10,full,objective_gradient,2,0.0016829001251608133,seconds,512,1
10,full,objective_gradient,3,0.0014045999851077795,seconds,512,1
10,full,objective_gradient,4,0.0015801000408828259,seconds,512,1
10,full,objective_gradient,5,0.0019672999624162912,seconds,512,1
10,full,objective_gradient,6,0.0022273000795394182,seconds,512,1
10,full,1000_iterations,0,0.516617099987343,seconds,8,1000
10,full,1000_iterations,1,0.7095280999783427,seconds,8,1000
10,full,1000_iterations,2,0.7238481999374926,seconds,8,1000
10,full,1000_iterations,3,0.7113125999458134,seconds,8,1000
10,full,1000_iterations,4,0.4783975000027567,seconds,8,1000
10,full,1000_iterations,5,0.6053408998996019,seconds,8,1000
10,full,1000_iterations,6,0.710412599844858,seconds,8,1000
10,full,10000_samples,0,0.01121130003593862,seconds,10000,1
10,full,10000_samples,1,0.007269300054758787,seconds,10000,1
10,full,10000_samples,2,0.011652100132778287,seconds,10000,1
10,full,10000_samples,3,0.007628999883309007,seconds,10000,1
10,full,10000_samples,4,0.010656500002369285,seconds,10000,1
10,full,10000_samples,5,0.010368899907916784,seconds,10000,1
10,full,10000_samples,6,0.008070399984717369,seconds,10000,1
10,full,peak_memory,0,82.71484375,MiB_peak_RSS,512,20
10,full,peak_memory,1,82.71484375,MiB_peak_RSS,512,20
10,full,peak_memory,2,82.71484375,MiB_peak_RSS,512,20
10,full,peak_memory,3,82.71484375,MiB_peak_RSS,512,20
10,full,peak_memory,4,82.71484375,MiB_peak_RSS,512,20
10,full,peak_memory,5,82.71484375,MiB_peak_RSS,512,20
10,full,peak_memory,6,82.71484375,MiB_peak_RSS,512,20
20,shared,posterior_construction,0,0.016670800046995282,seconds,0,1
20,shared,posterior_construction,1,0.018027399899438024,seconds,0,1
20,shared,posterior_construction,2,0.016241899924352765,seconds,0,1
20,shared,posterior_construction,3,0.020314499968662858,seconds,0,1
20,shared,posterior_construction,4,0.01958970003761351,seconds,0,1
20,shared,posterior_construction,5,0.015803599962964654,seconds,0,1
20,shared,posterior_construction,6,0.01319530000910163,seconds,0,1
20,shared,target_factorization,0,6.609992124140263e-05,seconds,0,1
20,shared,target_factorization,1,5.5999960750341415e-05,seconds,0,1
20,shared,target_factorization,2,5.250005051493645e-05,seconds,0,1
20,shared,target_factorization,3,5.16998115926981e-05,seconds,0,1
20,shared,target_factorization,4,5.079992115497589e-05,seconds,0,1
20,shared,target_factorization,5,5.030003376305103e-05,seconds,0,1
20,shared,target_factorization,6,5.039991810917854e-05,seconds,0,1
20,diag,objective_gradient,0,0.0017140000127255917,seconds,512,1
20,diag,objective_gradient,1,0.0016455999575555325,seconds,512,1
20,diag,objective_gradient,2,0.0016524000093340874,seconds,512,1
20,diag,objective_gradient,3,0.0016337998677045107,seconds,512,1
20,diag,objective_gradient,4,0.0016351998783648014,seconds,512,1
20,diag,objective_gradient,5,0.0019815999548882246,seconds,512,1
20,diag,objective_gradient,6,0.0021790999453514814,seconds,512,1
20,diag,1000_iterations,0,0.2452650999184698,seconds,8,1000
20,diag,1000_iterations,1,0.2873178001027554,seconds,8,1000
20,diag,1000_iterations,2,0.2554866001009941,seconds,8,1000
20,diag,1000_iterations,3,0.22740230010822415,seconds,8,1000
20,diag,1000_iterations,4,0.22373620001599193,seconds,8,1000
20,diag,1000_iterations,5,0.259717799955979,seconds,8,1000
20,diag,1000_iterations,6,0.2917534001171589,seconds,8,1000
