method,metric_available,unavailable_reason,reverse_kl,reverse_kl_se,forward_kl,forward_kl_se,tv,tv_se,average_marginal_w1,sliced_w1,mean_relative_error,covariance_relative_error,experiment,case,data_seed,m_constraints,family,map,derivative_scale,squareplus_alpha_over_sd,selected_validation_elbo,selected_normalized_gradient,selected_wall_time_seconds,converged_restarts,restart_count,normalizer_reliable,reference_reliable,validation_elbo,normalized_gradient,converged,wall_time_seconds,jacobian_log_q01,jacobian_log_q50,jacobian_log_q99,minimum_derivative
CTVGP,True,,0.8226811798645862,0.00355473236961461,2.203662434694861,0.024664479521026548,0.4815101389718536,0.0015088622416073413,0.005678668967269313,0.004825146182595496,0.0003853440270392829,0.2552778025752582,map,log,1,5,rank2,squareplus,0.03233473952504486,0.25,-0.8250696494285705,3.546834977875909e-06,3.3439566001761705,3,3,True,True,-0.8250696494285705,3.546834977875909e-06,True,3.3439566001761705,-0.000786904491623559,-0.000179094017715431,-1.571293894487908e-05,0.0008983432063585723
CTVGP,False,no converged restart,,,,,,,,,,,map,log,2,20,rank2,softplus,0.054648089155877,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,log,2,20,rank2,exp,0.054648089155877,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,log,2,20,rank2,squareplus,0.054648089155877,0.25,,,,0,3,True,False,,,,,,,,
CTVGP,True,,0.4701866376804531,0.0032030348893375303,0.9720325393954959,0.017487570243859052,0.34307576947196283,0.0013520691961039887,0.006667303303919703,0.005929237101919439,0.002093873304271602,0.3076035127679844,map,log,2,5,rank2,softplus,0.05433071537750141,,-1.2535410444174175,0.0014079368119131637,11.078200000105426,3,3,True,True,-1.2535410444174175,0.0014079368119131637,True,11.078200000105426,-4.246158252638829,-1.2889342454750037,-0.35737341337637274,0.0017118780230664602
CTVGP,True,,0.31813074228295224,0.0030160419013530375,0.7678117579029212,0.017993515212895994,0.27817869588269606,0.0011994574274340603,0.0053681849260215995,0.004441170455154739,0.004334505644627011,0.1506360592121483,map,log,2,5,rank2,exp,0.05433071537750141,,-1.0967402655636027,0.0004252400074121785,7.666805099928752,3,3,True,True,-1.0967402655636027,0.0004252400074121785,True,7.666805099928752,-4.169265473024045,-1.1188772525569455,0.19386534618010826,0.002225645814154166
CTVGP,True,,0.3696966582494374,0.0025879474554126023,34.278789008590905,21.81450741226525,0.307350318523396,0.001222046094772166,0.0057082176838621265,0.006141499526194725,0.001243620447840632,0.3156619356917066,map,log,2,5,rank2,squareplus,0.05433071537750141,0.25,-1.1419596248562849,0.0001464865480687307,2.5884168001357466,3,3,True,True,-1.1419596248562849,0.0001464865480687307,True,2.5884168001357466,-2.108181790963506,-0.0004413978701962584,-3.198055685770917e-05,0.00038863493931572384
CTVGP,False,no converged restart,,,,,,,,,,,map,log,3,20,rank2,softplus,0.04693355640065608,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,log,3,20,rank2,exp,0.04693355640065608,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,log,3,20,rank2,squareplus,0.04693355640065608,0.25,,,,0,3,True,False,,,,,,,,
CTVGP,True,,0.1972243085387942,0.0019276102736238748,0.5935169821484602,0.029689172644334724,0.2113066850275297,0.0010290643784838234,0.004909047897147507,0.004745021464748967,0.003314127752938415,0.20453338723021677,map,log,3,5,rank2,softplus,0.0470225328528657,,-0.19966745292368548,0.0002350176651697395,3.87654189998284,3,3,True,True,-0.19966745292368548,0.0002350176651697395,True,3.87654189998284,-2.109766399308283,-1.2436824787712635,-0.43914484142031374,0.05598043187740321
CTVGP,True,,0.23189928551791392,0.0020709647164158154,0.7860790548660567,0.03863071994048418,0.23529406927892993,0.0011007348415555244,0.005960576919406294,0.005475340013506022,0.004338230870528921,0.21426599365513715,map,log,3,5,rank2,exp,0.0470225328528657,,-0.23871723781378318,0.0002741840532895017,2.2410991999786347,3,3,True,True,-0.23871723781378318,0.0002741840532895017,True,2.2410991999786347,-2.013374146157385,-1.0795610202394395,0.03344621775896578,0.06554166408564055
CTVGP,True,,0.07234949357774788,0.0012215859312883868,0.0909312645650676,0.014166460083600046,0.12533572594053066,0.0006807740251724138,0.0014146844711179498,0.00279313504593671,0.0010113732392180148,0.188744621727529,map,log,3,5,rank2,squareplus,0.0470225328528657,0.25,-0.07730227572200654,0.0001236541655997625,3.8412179001607,3,3,True,True,-0.07730227572200654,0.0001236541655997625,True,3.8412179001607,-0.0037556044115881716,-0.0002950479430889885,-3.259543542422512e-05,0.0004563435625012854
CTVGP,False,no converged restart,,,,,,,,,,,map,log,4,20,rank2,softplus,0.04749272954085326,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,log,4,20,rank2,exp,0.04749272954085326,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,log,4,20,rank2,squareplus,0.04749272954085326,0.25,,,,0,3,True,False,,,,,,,,
CTVGP,True,,0.3490091447813021,0.0026317901579091274,1.1653518297629333,0.034955643183728645,0.2933908906134562,0.0012432759896669162,0.006871847434609899,0.006324403372839361,0.002659724457701095,0.2598572791294538,map,log,4,5,rank2,softplus,0.04745969298505166,,-0.3901813642137417,0.00025511881100033306,4.383081799838692,3,3,True,True,-0.3901813642137417,0.00025511881100033306,True,4.383081799838692,-2.5605732559474967,-1.3278038775752732,-0.42934944868481,0.025969328004176933
CTVGP,True,,0.39758891044784544,0.0028542698891478673,1.4809247279165854,0.04368748990856843,0.31437942931980295,0.0012838728469023702,0.00754102637237557,0.006885955165925626,0.0028296681240133235,0.27510402633129805,map,log,4,5,rank2,exp,0.04745969298505166,,-0.4367257210990436,0.00023440245330042843,1.4512461998965591,3,3,True,True,-0.4367257210990436,0.00023440245330042843,True,1.4512461998965591,-2.4710770515376543,-1.1795185073443184,0.050722813815207,0.030487482887361663
CTVGP,True,,0.1697925616915416,0.001910383938791345,0.20974985991489564,0.025821536769942127,0.19922350458106697,0.0009247719998303314,0.002949386871879644,0.004061879126098907,0.0010761532642185544,0.2363110980483663,map,log,4,5,rank2,squareplus,0.04745969298505166,0.25,-0.20936403918021007,0.0004945773133782208,2.9750880000647157,3,3,True,True,-0.20936403918021007,0.0004945773133782208,True,2.9750880000647157,-0.01650462419680701,-0.00036991655090046205,-3.194246248820877e-05,0.0002701848259706158
CTVGP,False,no converged restart,,,,,,,,,,,map,sigmoid,0,20,rank2,softplus,0.15509320646020364,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,sigmoid,0,20,rank2,exp,0.15509320646020364,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,sigmoid,0,20,rank2,squareplus,0.15509320646020364,0.25,,,,0,3,True,False,,,,,,,,
CTVGP,True,,0.43004877329638624,0.0032326596713978147,1.179628509456991,0.021420908561952414,0.3285058162574007,0.0013142344096785921,0.010969149069724104,0.0065574809637442,0.0024403232265850353,0.05295090810610796,map,sigmoid,0,5,rank2,softplus,0.15512848235426513,,-9.026587454749903,0.00031916377091380243,6.509684900054708,2,3,True,True,-9.026587454749903,0.00031916377091380243,True,6.509684900054708,-5.102195925215359,-2.250325652795764,-0.07673927047017294,0.00042497900754253916
CTVGP,True,,0.5603874694316051,0.00694165940730721,1.7054909594466323,0.02916406312119811,0.3785496294257622,0.0013807454728517838,0.013998595341796493,0.008839297711106395,0.0032215332749683176,0.05351912563053413,map,sigmoid,0,5,rank2,exp,0.15512848235426513,,-9.14451869731627,0.00479953552868629,7.885923599824309,3,3,True,True,-9.14451869731627,0.00479953552868629,True,7.885923599824309,-5.078585284554757,-2.204222368262567,0.957895549749675,0.0008913960039845436
