family,rank,map,map_scale,validation_elbo,normalized_gradient,adam_steps,lbfgs_iterations,lbfgs_function_evaluations,wall_time_seconds,plateau_passed,gradient_passed,independent_elbo_1,independent_elbo_1_se,independent_elbo_2,independent_elbo_2_se,independent_agreement_passed,converged,failure_reason,initialization,selected,experiment,case,data_seed,m_constraints,restart
rank4,4,softplus,1.0,-20.173201406403873,4.35308233026088,3600,500,524,21.302641100017354,False,False,-20.19965148141794,0.044459637702387735,-20.153199058825596,0.04339099039706263,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,2,10,1
rank4,4,softplus,1.0,-20.080145372089028,1.2577929737425864,3600,500,526,17.551088500069454,True,False,-20.077795278958995,0.04154065404527245,-20.047744450106265,0.04201792531659072,True,False,normalized_gradient,independent,False,capacity,log,2,10,2
full,-1,softplus,1.0,-7.38015118382873,6.475602454265529,1600,500,526,14.189793899888173,False,False,-7.344159619603199,0.03123126117959429,-7.4332158339806105,0.0313503689117834,True,False,"validation_plateau,normalized_gradient",nested_warm_start,False,capacity,log,2,10,0
full,-1,softplus,1.0,-7.301830557632581,0.8248012845619529,1600,500,526,15.484904099954292,True,False,-7.2994294575088805,0.019913661351028483,-7.329934834793863,0.021319480002679633,True,False,normalized_gradient,independent,False,capacity,log,2,10,1
full,-1,softplus,1.0,-7.290986327831298,1.9198115451593474,1800,500,518,13.583484800066799,False,False,-7.331292147830238,0.030990118986474472,-7.262577408440241,0.021011341111473996,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,2,10,2
diag,0,softplus,1.0,-60.22444368800757,0.5625982728416001,8000,500,561,54.647692900151014,True,False,-60.20166062142397,0.03819003068905221,-60.266259190652534,0.038794934728133515,True,False,normalized_gradient,independent,False,capacity,log,2,20,0
diag,0,softplus,1.0,-60.246139546247846,10.489780648531967,8000,500,551,54.18162970012054,False,False,-60.21470513372425,0.03856611954149701,-60.24942086446118,0.038195742552524635,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,2,20,1
diag,0,softplus,1.0,-60.23191889866871,8.480302553613656,8000,500,560,53.93848150013946,False,False,-60.22971844433274,0.03764883696742069,-60.24610926032701,0.037594994419686056,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,2,20,2
rank2,2,softplus,1.0,-49.082968541738424,1.0284423984098394,7400,500,533,53.92343359999359,True,False,-49.06777485594446,0.03624316477815486,-49.120955968552025,0.03624877152927145,True,False,normalized_gradient,independent,False,capacity,log,2,20,0
rank2,2,softplus,1.0,-47.95563560710039,3.5931703475609553,8000,500,528,55.512823400087655,True,False,-48.031099999940906,0.03510193242072287,-48.003371514663634,0.03562687622684006,True,False,normalized_gradient,independent,False,capacity,log,2,20,1
rank2,2,softplus,1.0,-48.34215100347615,0.8549680827198575,8000,500,521,54.68682980001904,True,False,-48.2481371430644,0.03666338410930987,-48.34813179122382,0.03911844721776714,True,False,normalized_gradient,independent,False,capacity,log,2,20,2
rank4,4,softplus,1.0,-62.72632299033113,19.86437694082432,4600,500,520,46.84028770006262,False,False,-62.785676275921034,0.20523676812096492,-62.90431967857563,0.2089707244280298,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,2,20,0
rank4,4,softplus,1.0,-61.95939264460599,17.827249239465715,5000,500,512,44.01087750005536,False,False,-61.71121458832141,0.22500646302843952,-61.94374669150715,0.2373091544960782,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,2,20,1
rank4,4,softplus,1.0,-70.30095016401117,34.22148237381426,5600,500,516,47.66885869996622,False,False,-70.78677678482434,0.36180875849467536,-70.07554880711757,0.4143580513097579,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,2,20,2
full,-1,softplus,1.0,-53.542169497157985,26.039380559645796,1600,500,511,33.41085790004581,False,False,-53.9680295754916,0.451979479299904,-53.67383320760914,0.4104738362849011,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,2,20,0
full,-1,softplus,1.0,-49.45295820932783,23.975551899843094,2000,500,515,30.956096299923956,False,False,-49.73885290412126,0.3954768304483128,-48.83179470326709,0.4186893358508211,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,2,20,1
full,-1,softplus,1.0,-49.86133896426949,41.06434738047585,1800,500,514,29.576670399866998,False,False,-50.38228131388037,0.38278306110077304,-50.54930618971832,0.42289100825169057,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,2,20,2
diag,0,softplus,1.0,-1.652919506726952,0.0005232448285973487,4400,13,16,5.782910699956119,True,True,-1.6398526277571968,0.015558521990194637,-1.6386001464414954,0.016128795252545035,True,True,,independent,False,capacity,log,2,5,0
diag,0,softplus,1.0,-1.653375543771111,0.0002540551944352539,4200,14,17,5.173424700042233,True,True,-1.648926025943986,0.015943686682770877,-1.6359657883091256,0.015057102479596116,True,True,,independent,False,capacity,log,2,5,1
diag,0,softplus,1.0,-1.6519017121667119,9.3335691871592e-05,4400,15,18,5.042408799985424,True,True,-1.658191866398942,0.017021080576323275,-1.6466766276674365,0.015305328580051182,True,True,,independent,True,capacity,log,2,5,2
rank2,2,softplus,1.0,-1.0579426568822183,0.0006487196133722814,1800,85,102,3.959297699853778,True,True,-1.0515327115698594,0.009501715496495417,-1.0501968935853938,0.009367008920899159,True,True,,nested_warm_start,False,capacity,log,2,5,0
