m_constraints,family,component,median,q25,q75,unit,batch_size,iterations,repeats
40,full,objective_gradient,0.004302100045606494,0.004211400053463876,0.004455800051800907,seconds,512,1,7
40,full,peak_memory,85.0703125,85.0703125,85.0703125,MiB_peak_RSS,512,20,7
40,rank2,10000_samples,0.02597550000064075,0.025450599961914122,0.026607849984429777,seconds,10000,1,7
40,rank2,1000_iterations,0.4277061000466347,0.40937260002829134,0.43635185004677624,seconds,8,1000,7
40,rank2,objective_gradient,0.0038620000705122948,0.0037863500183448195,0.00455954996868968,seconds,512,1,7
40,rank2,peak_memory,84.25390625,84.25390625,84.25390625,MiB_peak_RSS,512,20,7
40,rank4,10000_samples,0.027003400027751923,0.026487850002013147,0.0280285500921309,seconds,10000,1,7
40,rank4,1000_iterations,0.410696699982509,0.4027093999320641,0.42976119997911155,seconds,8,1000,7
40,rank4,objective_gradient,0.004245599964633584,0.004042499931529164,0.0045984500320628285,seconds,512,1,7
40,rank4,peak_memory,84.8046875,84.8046875,84.8046875,MiB_peak_RSS,512,20,7
40,rank8,10000_samples,0.02798449993133545,0.02765389997512102,0.02837439998984337,seconds,10000,1,7
40,rank8,1000_iterations,0.40792879997752607,0.4012421499937773,0.4552296500187367,seconds,8,1000,7
40,rank8,objective_gradient,0.003942399984225631,0.003865949925966561,0.004357100115157664,seconds,512,1,7
40,rank8,peak_memory,85.06640625,85.06640625,85.06640625,MiB_peak_RSS,512,20,7
40,shared,posterior_construction,0.019835500046610832,0.019301899941638112,0.02032610005699098,seconds,0,1,7
40,shared,target_factorization,0.0001417000312358141,0.0001388500677421689,0.0001596000511199236,seconds,0,1,7
80,diag,10000_samples,0.056068499805405736,0.05345404997933656,0.05823795008473098,seconds,10000,1,7
80,diag,1000_iterations,0.3774266999680549,0.3707117000594735,0.4003258500015363,seconds,8,1000,7
80,diag,objective_gradient,0.008582000155001879,0.008344850037246943,0.008802249911241233,seconds,512,1,7
80,diag,peak_memory,86.921875,86.921875,86.921875,MiB_peak_RSS,512,20,7
80,full,10000_samples,0.05634639994241297,0.05377965001389384,0.057591100106947124,seconds,10000,1,7
80,full,1000_iterations,1.0184444999322295,0.9756468499545008,1.1735204498982057,seconds,8,1000,7
80,full,objective_gradient,0.009376199916005135,0.00919909996446222,0.009659449919126928,seconds,512,1,7
80,full,peak_memory,88.140625,88.140625,88.140625,MiB_peak_RSS,512,20,7
80,rank2,10000_samples,0.05927750002592802,0.05763345002196729,0.06075685005635023,seconds,10000,1,7
80,rank2,1000_iterations,0.46295149996876717,0.4585722499759868,0.47399655007757246,seconds,8,1000,7
80,rank2,objective_gradient,0.01217440003529191,0.010630700038746,0.014091400080360472,seconds,512,1,7
80,rank2,peak_memory,87.63671875,87.63671875,87.63671875,MiB_peak_RSS,512,20,7
80,rank4,10000_samples,0.06060700002126396,0.060517000034451485,0.06168185011483729,seconds,10000,1,7
80,rank4,1000_iterations,0.5039368998259306,0.49475310009438545,0.5871484499657527,seconds,8,1000,7
80,rank4,objective_gradient,0.008511200081557035,0.008468299987725914,0.008792149950750172,seconds,512,1,7
80,rank4,peak_memory,87.71484375,87.71484375,87.71484375,MiB_peak_RSS,512,20,7
80,rank8,10000_samples,0.06257369997911155,0.06189120002090931,0.06379865005146712,seconds,10000,1,7
80,rank8,1000_iterations,0.5419844000134617,0.49602655007038265,0.5512861500028521,seconds,8,1000,7
80,rank8,objective_gradient,0.0094822000246495,0.00903715007007122,0.009895200026221573,seconds,512,1,7
80,rank8,peak_memory,87.77734375,87.77734375,87.77734375,MiB_peak_RSS,512,20,7
80,shared,posterior_construction,0.030052399961277843,0.0297549000242725,0.03028335003182292,seconds,0,1,7
80,shared,target_factorization,0.0012753000482916832,0.001262950012460351,0.0014029500307515264,seconds,0,1,7
160,diag,10000_samples,0.09375049988739192,0.09313740010838956,0.09706845006439835,seconds,10000,1,7
160,diag,1000_iterations,1.0326819999609143,1.0104332999326289,1.0477676999289542,seconds,8,1000,7
160,diag,objective_gradient,0.019804400159046054,0.018871999927796423,0.01999635004904121,seconds,512,1,7
160,diag,peak_memory,93.19140625,93.19140625,93.19140625,MiB_peak_RSS,512,20,7
160,rank2,10000_samples,0.11295800004154444,0.1114550499478355,0.11563374998513609,seconds,10000,1,7
160,rank2,1000_iterations,1.1610532999038696,1.1580794000765309,1.1661444500787184,seconds,8,1000,7
160,rank2,objective_gradient,0.021022100001573563,0.020572399953380227,0.021235299995169044,seconds,512,1,7
160,rank2,peak_memory,94.59375,94.59375,94.59375,MiB_peak_RSS,512,20,7
160,rank4,10000_samples,0.12329459981992841,0.12173154996708035,0.1289365499978885,seconds,10000,1,7
160,rank4,1000_iterations,1.1831026999279857,1.1711556998779997,1.2668041499564424,seconds,8,1000,7
160,rank4,objective_gradient,0.022108800010755658,0.02141455002129078,0.023580900160595775,seconds,512,1,7
160,rank4,peak_memory,94.9375,94.9375,94.9375,MiB_peak_RSS,512,20,7
160,rank8,10000_samples,0.09751390013843775,0.09662540000863373,0.09913809993304312,seconds,10000,1,7
160,rank8,1000_iterations,1.64607989997603,1.5524257000070065,1.7128062999108806,seconds,8,1000,7
160,rank8,objective_gradient,0.022143200039863586,0.021962850005365908,0.022795500000938773,seconds,512,1,7
160,rank8,peak_memory,94.20703125,94.20703125,94.20703125,MiB_peak_RSS,512,20,7
160,shared,posterior_construction,0.06694230018183589,0.06403870007488877,0.06812805007211864,seconds,0,1,7
160,shared,target_factorization,0.0030779000371694565,0.002997750067152083,0.0035469001159071922,seconds,0,1,7
