benchmark,conditional_clipped_eigenvalues,conditional_jitter,conditional_min_eigenvalue_raw,data_seed,delta,delta_ratio,derivative_covariance_jitter,derivative_support_violation,fit_source,loglog_mse_slope,mae,mse,opt_seed,pearson_correlation,run_id,sampling_implementation,sign_agreement,status
log,6,0.0,-3.387414442919943e-14,12,0.5,0.05,1e-10,0.0,finite_difference_optimization,2.4295304980201586,0.0009071435956990858,1.2806634888512444e-06,7,0.9999865908649324,finite_difference_log_data12_opt7,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-1.4195813942274167e-13,12,0.25,0.025,1e-10,0.0,finite_difference_optimization,2.4295304980201586,0.00023673862679888348,8.804108134294173e-08,7,0.9999989819011104,finite_difference_log_data12_opt7,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-6.883017609579849e-13,12,0.125,0.0125,1e-10,0.0,finite_difference_optimization,2.4295304980201586,9.307332488023455e-05,1.3410398837882925e-08,7,0.9999997572220976,finite_difference_log_data12_opt7,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-2.3833797851155503e-12,12,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,2.4295304980201586,7.363695633461566e-05,8.74938918724995e-09,7,0.9999998057046072,finite_difference_log_data12_opt7,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-3.387414442919943e-14,12,0.5,0.05,1e-10,0.0,finite_difference_optimization,2.5075514453476813,0.0012431795885090205,2.62873094772979e-06,8,0.9999878961166093,finite_difference_log_data12_opt8,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-1.4195813942274167e-13,12,0.25,0.025,1e-10,0.0,finite_difference_optimization,2.5075514453476813,0.0003231190250799724,1.7777587898264006e-07,8,0.9999989822513076,finite_difference_log_data12_opt8,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-6.883017609579849e-13,12,0.125,0.0125,1e-10,0.0,finite_difference_optimization,2.5075514453476813,0.00012479569834054132,2.495441387548349e-08,8,0.9999996806787529,finite_difference_log_data12_opt8,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-2.3833797851155503e-12,12,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,2.5075514453476813,9.673916989639826e-05,1.54108746975564e-08,8,0.9999997245563103,finite_difference_log_data12_opt8,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-3.387414442919943e-14,12,0.5,0.05,1e-10,0.0,finite_difference_optimization,2.7213164145182516,0.0011432187655227705,2.295967079696818e-06,9,0.9999846383287342,finite_difference_log_data12_opt9,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-1.4195813942274167e-13,12,0.25,0.025,1e-10,0.0,finite_difference_optimization,2.7213164145182516,0.00029763517402683865,1.5140851712897755e-07,9,0.9999988587568667,finite_difference_log_data12_opt9,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-6.883017609579849e-13,12,0.125,0.0125,1e-10,0.0,finite_difference_optimization,2.7213164145182516,0.00010443331911963959,1.7208671783585097e-08,9,0.9999997564689435,finite_difference_log_data12_opt9,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
